mode,source_hole,surface_target,target_v_horizontal_mps,target_spin_rpm,actual_v_at_contact_mps,first_contact_pos_x,first_contact_pos_y,first_contact_pos_z,end_pos_x,end_pos_y,end_pos_z,end_surface,roll_distance_m,bounce_count,sim_duration_s,sample_id,timestamp_iso
roll,1,Fairway,3.0,500,8.557,-278.4264,8.7511,-133.7730,-276.9576,8.5703,-133.7730,Fairway,1.4688,5,2.3959,1,2026-05-19T06:14:19.7517090+02:00
roll,1,Fairway,3.0,500,8.572,-278.3214,8.7358,-133.7730,-276.8505,8.5556,-133.7730,Fairway,1.4709,5,2.4002,2,2026-05-19T06:14:20.1154930+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-277.0063,8.5777,-133.7730,Fairway,1.4403,5,2.3933,1,2026-05-19T06:14:20.4700090+02:00
roll,1,Fairway,3.0,2700,8.570,-278.3414,8.7393,-133.7730,-276.8991,8.5630,-133.7730,Fairway,1.4423,5,2.3961,2,2026-05-19T06:14:20.8026720+02:00
roll,1,Fairway,6.0,500,10.443,-277.0573,8.5600,-133.7730,-273.7996,8.1382,-133.7730,Fairway,3.2578,5,2.6612,1,2026-05-19T06:14:21.1328020+02:00
roll,1,Fairway,6.0,500,10.456,-276.9473,8.5465,-133.7730,-273.6829,8.1226,-133.7730,Fairway,3.2644,5,2.6672,2,2026-05-19T06:14:21.4796730+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.8657,8.1480,-133.7730,Fairway,3.2244,5,2.6164,1,2026-05-19T06:14:21.8094270+02:00
roll,1,Fairway,6.0,2700,10.453,-276.9802,8.5527,-133.7730,-273.7492,8.1309,-133.7730,Fairway,3.2310,5,2.6203,2,2026-05-19T06:14:22.1938950+02:00
roll,1,Fairway,9.0,500,12.844,-276.1125,8.4329,-133.7730,-270.5077,7.7050,-133.7730,Fairway,5.6048,5,4.3972,1,2026-05-19T06:14:22.5445820+02:00
roll,1,Fairway,9.0,500,12.854,-275.9973,8.4133,-133.7730,-270.3909,7.6892,-133.7730,Fairway,5.6064,5,4.3997,2,2026-05-19T06:14:22.8951770+02:00
roll,1,Fairway,9.0,2700,12.843,-276.1447,8.4341,-133.7730,-270.5530,7.7106,-133.7730,Fairway,5.5917,5,4.3844,1,2026-05-19T06:14:23.2228980+02:00
roll,1,Fairway,9.0,2700,12.853,-276.0308,8.4206,-133.7730,-270.4339,7.6948,-133.7730,Fairway,5.5969,5,4.3844,2,2026-05-19T06:14:23.5874020+02:00
roll,1,Fairway,12.0,500,15.540,-275.4589,8.3389,-133.7730,-267.4772,7.3294,-133.7730,Fairway,7.9816,6,3.1083,1,2026-05-19T06:14:23.9177620+02:00
roll,1,Fairway,12.0,500,15.547,-275.3409,8.3242,-133.7730,-267.3531,7.3150,-133.7730,Fairway,7.9878,6,3.1112,2,2026-05-19T06:14:24.2528200+02:00
roll,1,Fairway,12.0,2700,15.538,-275.3943,8.3291,-133.7730,-267.4024,7.3201,-133.7730,Fairway,7.9919,6,3.0919,1,2026-05-19T06:14:24.6022150+02:00
roll,1,Fairway,12.0,2700,15.546,-275.2759,8.3144,-133.7730,-267.2798,7.3057,-133.7730,Fairway,7.9961,6,3.0929,2,2026-05-19T06:14:24.9384750+02:00
roll,1,Fairway,15.0,500,18.481,-275.0010,8.2762,-133.7730,-263.9713,6.9320,-133.7730,Fairway,11.0298,6,3.5746,1,2026-05-19T06:14:25.2686110+02:00
roll,1,Fairway,15.0,500,18.486,-274.8814,8.2632,-133.7730,-263.8447,6.9189,-133.7730,Fairway,11.0367,6,3.5789,2,2026-05-19T06:14:25.6097530+02:00
roll,1,Fairway,15.0,2700,18.476,-274.8753,8.2632,-133.7730,-263.8522,6.9199,-133.7730,Fairway,11.0231,6,3.6088,1,2026-05-19T06:14:25.9617520+02:00
roll,1,Fairway,15.0,2700,18.481,-274.7543,8.2412,-133.7730,-263.7382,6.9078,-133.7730,Fairway,11.0161,6,3.6068,2,2026-05-19T06:14:26.3181610+02:00
roll,1,Fairway,20.0,500,23.864,-274.5036,8.2111,-133.7730,-257.2303,6.2821,-133.7730,Fairway,17.2733,6,5.0080,1,2026-05-19T06:14:26.6676490+02:00
roll,1,Fairway,20.0,500,23.868,-274.3813,8.1876,-133.7730,-257.1205,6.2729,-133.7730,Fairway,17.2609,6,5.0066,2,2026-05-19T06:14:27.0145170+02:00
roll,1,Fairway,20.0,2700,23.857,-274.3637,8.1852,-133.7730,-257.1793,6.2782,-133.7730,Fairway,17.1845,6,5.0167,1,2026-05-19T06:14:27.3554130+02:00
roll,1,Fairway,20.0,2700,23.861,-274.2406,8.1723,-133.7730,-257.0531,6.2670,-133.7730,Fairway,17.1876,6,5.0150,2,2026-05-19T06:14:27.6825880+02:00
roll,1,Fairway,25.0,500,29.252,-274.2171,8.1640,-133.7730,-250.1096,5.7307,-133.7730,Fairway,24.1075,6,6.0886,1,2026-05-19T06:14:28.0323440+02:00
roll,1,Fairway,25.0,500,29.254,-274.0931,8.1511,-133.7730,-249.9858,5.7219,-133.7730,Fairway,24.1073,6,6.0902,2,2026-05-19T06:14:28.3563610+02:00
roll,1,Fairway,25.0,2700,29.242,-274.0757,8.1463,-133.7730,-250.1070,5.7301,-133.7730,Fairway,23.9687,6,6.0867,1,2026-05-19T06:14:28.6938420+02:00
roll,1,Fairway,25.0,2700,29.244,-273.9486,8.1316,-133.7730,-249.9841,5.7219,-133.7730,Fairway,23.9646,6,6.0868,2,2026-05-19T06:14:29.0570080+02:00
roll,1,Green,3.0,500,8.312,-236.5110,10.2145,-75.7730,-235.9938,10.2233,-75.7730,Green,0.5172,4,1.6734,1,2026-05-19T06:14:29.4205580+02:00
roll,1,Green,3.0,500,8.315,-236.4101,10.2119,-75.7730,-235.8927,10.2208,-75.7730,Green,0.5174,4,1.6740,2,2026-05-19T06:14:29.7379910+02:00
roll,1,Green,3.0,2700,8.312,-236.5285,10.2149,-75.7730,-236.0187,10.2239,-75.7730,Green,0.5098,4,1.6744,1,2026-05-19T06:14:30.0693870+02:00
roll,1,Green,3.0,2700,8.315,-236.4276,10.2125,-75.7730,-235.9177,10.2214,-75.7730,Green,0.5099,4,1.6751,2,2026-05-19T06:14:30.4315290+02:00
roll,1,Green,6.0,500,10.119,-235.3221,10.1853,-75.7730,-234.2313,10.1801,-75.7730,Green,1.0908,4,1.6343,1,2026-05-19T06:14:30.7693790+02:00
roll,1,Green,6.0,500,10.121,-235.2204,10.1829,-75.7730,-234.1292,10.1775,-75.7730,Green,1.0912,4,1.6350,2,2026-05-19T06:14:31.1006860+02:00
roll,1,Green,6.0,2700,10.119,-235.3477,10.1862,-75.7730,-234.2628,10.1809,-75.7730,Green,1.0849,4,1.6379,1,2026-05-19T06:14:31.4367260+02:00
roll,1,Green,6.0,2700,10.122,-235.2460,10.1838,-75.7730,-234.1608,10.1783,-75.7730,Green,1.0853,4,1.6386,2,2026-05-19T06:14:31.7607180+02:00
roll,1,Green,9.0,500,12.535,-234.5769,10.1666,-75.7730,-232.7988,10.1448,-75.7730,Green,1.7781,4,1.6510,1,2026-05-19T06:14:32.1078990+02:00
roll,1,Green,9.0,500,12.537,-234.4744,10.1641,-75.7730,-232.6959,10.1423,-75.7730,Green,1.7784,4,1.6516,2,2026-05-19T06:14:32.4340340+02:00
roll,1,Green,9.0,2700,12.537,-234.6026,10.1678,-75.7730,-232.8246,10.1455,-75.7730,Green,1.7780,4,1.6537,1,2026-05-19T06:14:32.7698200+02:00
roll,1,Green,9.0,2700,12.538,-234.5002,10.1653,-75.7730,-232.7216,10.1429,-75.7730,Green,1.7785,4,1.6544,2,2026-05-19T06:14:33.1012370+02:00
roll,1,Green,12.0,500,15.285,-234.1043,10.1553,-75.7730,-231.4890,10.1113,-75.7730,Green,2.6153,4,1.7151,1,2026-05-19T06:14:33.4365400+02:00
roll,1,Green,12.0,500,15.286,-234.0013,10.1527,-75.7730,-231.3853,10.1086,-75.7730,Green,2.6160,4,1.7158,2,2026-05-19T06:14:33.7732730+02:00
roll,1,Green,12.0,2700,15.282,-234.0626,10.1537,-75.7730,-231.4550,10.1104,-75.7730,Green,2.6076,4,1.7031,1,2026-05-19T06:14:34.1005420+02:00
roll,1,Green,12.0,2700,15.283,-233.9595,10.1511,-75.7730,-231.3511,10.1077,-75.7730,Green,2.6084,4,1.7039,2,2026-05-19T06:14:34.4583560+02:00
roll,1,Green,15.0,500,18.281,-233.7962,10.1466,-75.7730,-230.1430,10.0757,-75.7730,Green,3.6532,4,2.0381,1,2026-05-19T06:14:34.7973270+02:00
roll,1,Green,15.0,500,18.282,-233.6930,10.1442,-75.7730,-230.0390,10.0728,-75.7730,Green,3.6540,4,2.0387,2,2026-05-19T06:14:35.1186700+02:00
roll,1,Green,15.0,2700,18.274,-233.7169,10.1446,-75.7730,-230.0910,10.0743,-75.7730,Green,3.6259,4,2.0437,1,2026-05-19T06:14:35.4445310+02:00
roll,1,Green,15.0,2700,18.274,-233.6137,10.1422,-75.7730,-229.9869,10.0714,-75.7730,Green,3.6268,4,2.0444,2,2026-05-19T06:14:35.7640850+02:00
roll,1,Green,20.0,500,23.722,-233.4872,10.1400,-75.7730,-227.5744,10.0021,-75.7730,Green,5.9127,4,3.0162,1,2026-05-19T06:14:36.0798070+02:00
roll,1,Green,20.0,500,23.722,-233.3836,10.1376,-75.7730,-227.4698,9.9990,-75.7730,Green,5.9137,4,3.0168,2,2026-05-19T06:14:36.4337760+02:00
roll,1,Green,20.0,2700,23.715,-233.4047,10.1375,-75.7730,-227.5493,10.0014,-75.7730,Green,5.8555,4,3.0137,1,2026-05-19T06:14:36.7599860+02:00
roll,1,Green,20.0,2700,23.715,-233.3010,10.1351,-75.7730,-227.4445,9.9982,-75.7730,Green,5.8566,4,3.0143,2,2026-05-19T06:14:37.0826580+02:00
roll,1,Green,25.0,500,29.175,-233.3185,10.1349,-75.7730,-224.6980,9.9098,-75.7730,Green,8.6205,4,3.8347,1,2026-05-19T06:14:37.3958470+02:00
roll,1,Green,25.0,500,29.175,-233.2147,10.1325,-75.7730,-224.5925,9.9063,-75.7730,Green,8.6221,4,3.8354,2,2026-05-19T06:14:37.7100090+02:00
roll,1,Green,25.0,2700,29.167,-233.2389,10.1344,-75.7730,-224.7033,9.9100,-75.7730,Green,8.5356,4,3.8237,1,2026-05-19T06:14:38.0469800+02:00
roll,1,Green,25.0,2700,29.167,-233.1348,10.1294,-75.7730,-224.6002,9.9066,-75.7730,Green,8.5346,4,3.8239,2,2026-05-19T06:14:38.3744300+02:00
roll,1,Tee,3.0,500,11.242,130.5075,10.1624,26.2270,132.9588,10.1486,26.2270,Fairway,2.4513,5,3.2940,1,2026-05-19T06:14:38.7259820+02:00
roll,1,Tee,3.0,500,11.242,130.6075,10.1624,26.2270,133.0590,10.1483,26.2270,Fairway,2.4514,5,3.2943,2,2026-05-19T06:14:39.0680850+02:00
roll,1,Tee,3.0,2700,11.243,130.4572,10.1624,26.2270,132.8144,10.1491,26.2270,Fairway,2.3572,5,3.2979,1,2026-05-19T06:14:39.4058640+02:00
roll,1,Tee,3.0,2700,11.243,130.5572,10.1624,26.2270,132.9146,10.1488,26.2270,Fairway,2.3573,5,3.2982,2,2026-05-19T06:14:39.7424490+02:00
roll,1,Tee,6.0,500,12.534,132.5928,10.1278,26.2270,136.2159,10.1466,26.2270,Fairway,3.6231,5,3.0043,1,2026-05-19T06:14:40.0948940+02:00
roll,1,Tee,6.0,500,12.534,132.6928,10.1278,26.2270,136.3159,10.1466,26.2270,Fairway,3.6231,5,3.0043,2,2026-05-19T06:14:40.4359910+02:00
roll,1,Tee,6.0,2700,12.537,132.5285,10.1278,26.2270,136.1066,10.1466,26.2270,Fairway,3.5780,5,3.0102,1,2026-05-19T06:14:40.7695070+02:00
